source,locale,sourceBookKey,externalId,title,format,sizeLabel,label,description,downloadUrl,fileOrder
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,docx,736Kb,docx (736Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=1&f=docx,1
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=1&f=epub,2
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,fb2,2Mb,fb2 (2Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=1&f=fb2,3
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,pdf,1Mb,pdf (1Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=1&f=pdf,4
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,rtf,21Mb,rtf (21Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=1&f=rtf,5
mukitob,az,mukitob:az:1,1,Lütfün nəsil şəcərəsi,txt,2Mb,txt (2Mb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=1&f=txt,6
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,docx,165Kb,docx (165Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=2&f=docx,1
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=2&f=epub,2
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,fb2,458Kb,fb2 (458Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=2&f=fb2,3
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,pdf,1Mb,pdf (1Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=2&f=pdf,4
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,rtf,802Kb,rtf (802Kb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=2&f=rtf,5
mukitob,az,mukitob:az:2,2,Səadət naminə iztirab,txt,443Kb,txt (443Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=2&f=txt,6
mukitob,az,mukitob:az:3,3,Ər duasının gücü,docx,314Kb,docx (314Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=3&f=docx,1
mukitob,az,mukitob:az:3,3,Ər duasının gücü,epub,1Mb,epub (1Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=3&f=epub,2
mukitob,az,mukitob:az:3,3,Ər duasının gücü,fb2,483Kb,fb2 (483Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=3&f=fb2,3
mukitob,az,mukitob:az:3,3,Ər duasının gücü,pdf,2Mb,pdf (2Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=3&f=pdf,4
mukitob,az,mukitob:az:3,3,Ər duasının gücü,rtf,4Mb,rtf (4Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=3&f=rtf,5
mukitob,az,mukitob:az:3,3,Ər duasının gücü,txt,550Kb,txt (550Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=3&f=txt,6
mukitob,az,mukitob:az:4,4,Düzgün seçim,docx,175Kb,docx (175Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=4&f=docx,1
mukitob,az,mukitob:az:4,4,Düzgün seçim,epub,10Mb,epub (10Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=4&f=epub,2
mukitob,az,mukitob:az:4,4,Düzgün seçim,fb2,17Mb,fb2 (17Mb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=4&f=fb2,3
mukitob,az,mukitob:az:4,4,Düzgün seçim,pdf,20Mb,pdf (20Mb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=4&f=pdf,4
mukitob,az,mukitob:az:4,4,Düzgün seçim,rtf,5Mb,rtf (5Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=4&f=rtf,5
